latitude;longitude;stationname;depth;red;green;blue
54.666;7.836;station028_id341197;17;1;0;1
55.383;6.25;station028_id341257;51.5;1;0;1
54.333;6.782;station029_id316038;39;1;0;1
54.668;5.001;station029_id328593;46;1;0;1
54.999;8;station029_id341014;16.5;1;0;1
54.668;4.998;station029_id341131;43;1;0;1
54.668;7.502;station029_id341198;24.7;1;0;1
55.512;5.749;station029_id341258;51.1;1;0;1
55.512;5.749;station029_id341258;51.1;1;0;1
53.942;6.783;station030_id316039;28.6;1;0;1
54.666;5.502;station030_id328594;44.1;1;0;1
54.999;8.248;station030_id341015;12.8;1;0;1
54.334;5.666;station030_id341132;42;1;0;1
54.418;7.583;station030_id341199;28.3;1;0;1
55.251;5.502;station030_id341259;43.7;1;0;1
54.166;6.364;station031_id316067;36.8;1;0;1
54.333;5.67;station031_id328595;42.4;1;0;1
56;7.801;station031_id341016;27.3;1;0;1
54.164;6.35;station031_id341141;36;1;0;1
54.182;7.433;station031_id341200;38.3;1;0;1
55.399;4.753;station031_id341260;45.9;1;0;1
54.33;6.778;station032_id328596;39.2;1;0;1
53.675;6.497;station032_id341134;22.4;1;0;1
54.25;8.104;station032_id341201;17.8;1;0;1
55.768;4.252;station032_id341261;40.8;1;0;1
54.667;6.25;station033_id316042;42;1;0;1
54.168;6.335;station033_id328597;36;1;0;1
56.002;5.998;station033_id341019;48.2;1;0;1
53.942;7.4;station033_id341135;25.5;1;0;1
54.226;8.383;station033_id341202;15.9;1;0;1
55.917;3.352;station033_id341262;70.2;1;0;1
53.94;6.198;station034_id328598;29.8;1;0;1
56.001;5;station034_id341021;43.6;1;0;1
54.179;7.434;station034_id341136;38.3;1;0;1
54.5;8.198;station034_id341203;16.3;1;0;1
55.5;4;station034_id341263;33;1;0;1
53.941;6.783;station035_id328599;27;1;0;1
55.999;3.003;station035_id341023;74.4;1;0;1
53.942;7.401;station035_id341204;27;1;0;1
55;5.002;station035_id341264;42.6;1;0;1
53.673;6.502;station036_id328600;23.2;1;0;1
56;2.002;station036_id341025;86.5;1;0;1
53.849;7.996;station036_id341205;17.8;1;0;1
54.999;5.501;station036_id341265;40;1;0;1
55;6.32;station037_id316068;42.5;1;0;1
53.799;7.165;station037_id328601;22.2;1;0;1
56.001;0.999;station037_id341027;78;1;0;1
53.999;8.105;station037_id341206;25.6;1;0;1
54.668;5.5;station037_id341266;43.5;1;0;1
55.383;6.254;station038_id316047;51;1;0;1
53.944;7.402;station038_id328602;27.6;1;0;1
56.001;-0.002;station038_id341029;84.3;1;0;1
54.668;5.004;station038_id341267;43.6;1;0;1
55.51;5.752;station039_id316048;55;1;0;1
53.848;7.998;station039_id328603;17.3;1;0;1
55.999;-1;station039_id341031;65.2;1;0;1
54.336;5.67;station039_id341268;41.9;1;0;1
55.251;5.504;station040_id316049;47;1;0;1
54.05;7.968;station040_id341209;32;1;0;1
53.944;6.2;station040_id341269;29.3;1;0;1
55.401;4.746;station041_id316050;47.6;1;0;1
54.084;7.834;station041_id341210;44.5;1;0;1
53.672;6.498;station041_id341270;21.7;1;0;1
55.767;4.251;station042_id316051;39.6;1;0;1
57;-0.997;station042_id341037;72.6;1;0;1
53.799;7.168;station042_id341271;21.9;1;0;1
55.916;3.353;station043_id316052;70.6;1;0;1
57;1.388;station043_id341039;103.4;1;0;1
53.883;8.717;station043_id341212;-1;1;0;1
55.5;4;station044_id316053;32.4;1;0;1
57;3.498;station044_id341041;64.5;1;0;1
57;5.004;station045_id341043;59.5;1;0;1
55;4.998;station046_id316055;41.2;1;0;1
57.001;5.998;station046_id341045;51.6;1;0;1
55;5.499;station047_id316056;42.5;1;0;1
54.668;5.5;station048_id316057;44.5;1;0;1
56.999;8.001;station048_id341048;33.5;1;0;1
54.667;5.001;station049_id316058;46.9;1;0;1
54.334;5.671;station050_id316059;42;1;0;1
57.999;5.998;station050_id341052;306.1;1;0;1
53.942;6.198;station051_id316060;32.2;1;0;1
58.001;5.002;station051_id341054;128.5;1;0;1
58;3.004;station052_id341056;76.3;1;0;1
53.674;6.504;station053_id316062;23.1;1;0;1
57.999;1.499;station053_id341058;105.3;1;0;1
53.801;7.166;station054_id316063;23.1;1;0;1
58;-0.993;station054_id341060;112.9;1;0;1
53.848;7.998;station055_id316064;18.1;1;0;1
59.002;-1.496;station063_id341072;106.4;1;0;1
59;-0.001;station064_id341074;132.3;1;0;1
59;0.994;station065_id341076;125.3;1;0;1
58.999;3;station066_id341078;136.8;1;0;1
59.001;4.503;station067_id341080;260.3;1;0;1
60.001;4.5;station068_id341082;261.6;1;0;1
60.001;2;station069_id341084;101.4;1;0;1
60;-0.501;station070_id341086;125;1;0;1
60.999;3.997;station078_id341102;350;1;0;1
54.268;7.192;station8a_id392814;37;1;0;1
